arabic,english,math,physics,chemistry,biology,islamic,social,computer_science,emsat_english,emsat_math,emsat_physics,emsat_arabic,riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,big5_O,big5_C,big5_E,big5_A,big5_N,emsat_provided,track,emirate,sector
98.90688918369457,74.12593552390717,62.810678140595634,47.0778032176912,54.516821486200854,80.98122692537761,65.00213252936007,89.19196719628323,43.36677454196576,65.4,50.8,49.2,100.0,59.669917931265026,69.58427931524886,72.76838998533302,100.0,57.56596725448753,97.10515051322622,100.0,81.27578052245026,48.89570167697927,53.09367015011707,17.76453697830202,1.0,advanced,dubai,tourism
50.593790598978245,71.02517289971243,75.6273320999305,100.0,76.27017506337098,87.57295411714918,65.5385127571174,67.95923579268724,67.84474203108786,,,,,72.26986627539148,68.83054278555285,50.62052607745328,46.23618737855759,60.83500755428893,83.1528016323059,69.3577246634433,71.70595747547175,44.024490994440164,58.47050475329807,35.282758919331314,0.0,advanced,ras_al_khaimah,engineering
100.0,100.0,80.42349743290258,70.86268295413095,86.77709781421026,68.45872506032595,95.39950622082611,93.56468765780852,54.70733757180689,100.0,71.3,77.60000000000001,100.0,32.84899482854024,76.04403168383494,23.92978119723505,69.29720573339661,64.15721657509482,72.0156032875121,95.0778831351052,79.87887751056182,40.095509320224785,57.11796347730934,41.29287853736871,1.0,elite,abu_dhabi,law
58.81231798252436,79.22430288129905,46.48791645931439,76.55300224802407,50.49544103970822,40.50290139590517,45.38690413794772,68.47564489882025,66.53211929314641,,,,,51.980335492447594,47.86972616747798,86.18625260737674,68.94321724777203,51.32164071069399,80.16893791577729,89.57577199436714,80.08389764850264,73.56215838809388,40.02802833423577,16.72018652603026,0.0,general,abu_dhabi,media
78.63190981606041,74.13759969739297,70.85032411094207,72.12024503793913,91.32312548812163,85.77932543831936,60.113787081352804,56.47284116088982,56.44446508067829,71.2,66.10000000000001,61.4,63.800000000000004,56.73588168637659,79.79453631878125,37.603852397723124,82.58032977176197,48.10037807714818,73.53657684790527,55.206438596680215,100.0,46.894888962881204,68.82648640822968,18.869852430467628,1.0,general,sharjah,healthcare
42.250500240517745,66.3852843173277,85.86905948181708,84.55201148915397,67.56084888736942,63.540749105344105,72.47706127881492,58.20990175604995,63.3505960018157,73.8,80.0,71.3,56.00000000000001,65.5114576751426,85.81059172100505,11.342027446999596,65.60668005241901,67.68129980078974,96.57515597059128,81.52880397547632,93.11005613746684,82.34595354572409,69.02581183572694,7.991726605644601,1.0,general,sharjah,aviation
76.5333728372096,68.42202157290183,75.18083607178306,47.37096425271337,38.46434340296217,66.79491322959727,56.23696846698545,72.5077096945272,27.916694749459907,66.9,69.5,50.9,89.1,66.15222108664938,73.90798165588933,76.06623519353982,67.19748772260449,80.37837492837596,90.0091260240396,67.99905436773435,74.9098310187764,81.87917381132357,51.62172076933865,8.3722389463133,1.0,elite,dubai,aviation
69.78845055462558,59.73755934763898,64.6943243447899,66.68694362499598,42.41599715071557,41.75795301406695,26.718821928979015,67.49015201696305,74.09548566179402,68.89999999999999,64.2,50.8,61.7,50.40945734074719,74.56861100803123,26.47320003825386,75.28491972138004,43.763958871141185,79.81311644312017,50.36028720633932,70.58030807766053,53.63171529914349,58.222199867802715,0.0,1.0,general,ajman,logistics
51.34193262961971,88.76729125180641,70.91237108846683,64.4413162439962,69.67703313338158,82.82463403235953,55.759050666969785,56.52555166925647,48.98715261201525,76.9,64.3,70.8,58.9,63.97704693841773,100.0,43.24560516379247,71.5362147499171,28.390128124098865,97.27559883373814,80.48809519065199,100.0,80.92493405478096,56.029228731591914,2.401660504758887,1.0,general,ajman,healthcare
75.16350653556546,84.6019194300816,81.42925837033633,89.93159573050274,74.50218022580674,73.39270800255004,67.27584297358344,78.82275839703686,68.93900098960285,90.3,70.7,100.0,86.2,80.23093203302689,84.07290501268164,68.50627625001084,28.133619872190962,74.52000047969226,76.47596336281623,88.42766169615578,90.6627805646785,29.498966791733572,52.40934570660748,41.61165038320377,1.0,elite,dubai,construction
50.46193530645976,86.95696906680548,100.0,66.68439955236462,100.0,64.81995474771358,64.96268962358593,52.76485903423112,70.70781850171808,,,,,69.8126561072815,76.72045986439458,54.458945572477546,29.8921441649709,53.67454744638957,76.06276326883142,59.33939275786637,100.0,25.18246158107843,44.79847000398293,18.945409447191956,0.0,advanced,fujairah,healthcare
70.57907727410239,90.3873253590477,81.51330983307724,49.5740595628933,65.72083651215196,56.65968680195027,52.05259225534026,98.33135296059884,69.82997076101688,,,,,42.17573825953147,94.31313398167539,64.9619235992697,66.41970247231072,85.10341633088564,70.58231834123396,47.35370780694598,95.21067351478936,79.38126921006189,75.3828639931294,26.24497672792054,0.0,advanced,sharjah,entrepreneurship
77.56881268886116,60.78546080334342,71.58780965002049,56.4296929466568,53.15941749795496,69.31582853558369,69.69391366962846,78.10290791835604,99.13720127302517,,,,,37.435717258900254,68.1223035469373,29.475998433871144,71.4465565283992,86.33029982264226,82.98798059314909,94.72812257802379,83.51365583981841,65.99654060389838,83.12970291491746,40.827284570675175,0.0,elite,dubai,government
72.33412887670097,56.04692920123589,89.04787953679327,88.49505013515979,77.7620377582706,62.962154547879024,84.38967331515948,74.39193658786232,62.0063221117612,45.9,94.6,91.10000000000001,77.8,57.99880387296304,78.18697828925045,0.0,54.66715771835466,65.1837803708351,71.19261273909149,62.230137018701036,85.73226046894749,78.66467902511239,42.28309547808294,31.371392683000533,1.0,elite,dubai,logistics
55.60754173002105,65.89221553821409,81.07096686829446,79.99266529878363,51.36143943133159,59.60975841778528,45.33424308114874,54.68647731851199,59.764306723625694,71.7,83.89999999999999,84.2,52.7,58.75149034108842,60.1559125043171,21.89577221872209,75.67817404820985,26.164029390339387,99.85498612853657,59.6869648305379,100.0,15.104756724125394,56.33073432889361,48.096080331093304,1.0,general,abu_dhabi,construction
